
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
58:D9:D5:51:2A:E1, 2023-07-14 00:42:03, 2023-07-14 00:42:03,  5, 130, WPA2 WPA, CCMP, PSK, -87,        1,        0,   0.  0.  0.  0,  12, Tenda_512AE0, 
BC:62:CE:87:DB:76, 2023-07-14 00:42:03, 2023-07-14 00:42:04,  1, 270, WPA2, CCMP TKIP, PSK, -63,       21,        0,   0.  0.  0.  0,  12, netis_87DB76, 
D4:35:38:A0:B2:77, 2023-07-14 00:42:03, 2023-07-14 00:42:04,  1, 130, WPA2, CCMP TKIP, PSK, -45,        3,        0,   0.  0.  0.  0,   6, Xiaomi, 
10:FE:ED:B4:85:22, 2023-07-14 00:42:03, 2023-07-14 00:42:04,  1, 135, WPA2 WPA, CCMP, PSK, -85,        3,        0,   0.  0.  0.  0,   5, Yulia, 
00:31:92:DE:D7:10, 2023-07-14 00:42:04, 2023-07-14 00:42:04, 13, 270, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,  15, rhavryshkiv_2.4, 
D4:6E:0E:EF:8F:E0, 2023-07-14 00:42:04, 2023-07-14 00:42:04,  2, 270, WPA2, CCMP, PSK, -76,        3,        0,   0.  0.  0.  0,  13, Kyivstar_8FE0, 
1C:61:B4:D1:47:36, 2023-07-14 00:42:05, 2023-07-14 00:42:06, 10, 270, WPA2, CCMP, PSK, -74,        3,        0,   0.  0.  0.  0,  12, TP-Link_4736, 
04:5E:A4:06:61:37, 2023-07-14 00:42:06, 2023-07-14 00:42:06, 10, 270, WPA2, CCMP TKIP, PSK, -87,        1,        0,   0.  0.  0.  0,   8, Kyivstar, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs

