
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
50:0F:F5:91:53:A9, 2023-07-13 22:37:40, 2023-07-13 22:37:45, 13, 270, WPA2 WPA, CCMP, PSK, -85,        7,        7,   0.  0.  0.  0,  12, Tenda_9153A8, 
D4:35:38:A7:73:5A, 2023-07-13 22:37:41, 2023-07-13 22:37:44,  1, 130, WPA2, CCMP TKIP, PSK, -85,        4,        0,   0.  0.  0.  0,   6, YASBOY, 
BC:62:CE:87:DB:76, 2023-07-13 22:37:41, 2023-07-13 22:37:45,  1, 270, WPA2, CCMP TKIP, PSK, -67,       26,        0,   0.  0.  0.  0,  12, netis_87DB76, 
D4:35:38:A0:B2:77, 2023-07-13 22:37:41, 2023-07-13 22:37:44,  1, 130, WPA2, CCMP TKIP, PSK, -69,        6,        7,   0.  0.  0.  0,   6, Xiaomi, 
10:FE:ED:B4:85:22, 2023-07-13 22:37:41, 2023-07-13 22:37:44,  1, 135, WPA2 WPA, CCMP, PSK, -85,        4,        0,   0.  0.  0.  0,   5, Yulia, 
D4:6E:0E:EF:8F:E0, 2023-07-13 22:37:41, 2023-07-13 22:37:45,  2, 270, WPA2, CCMP, PSK, -72,        4,        0,   0.  0.  0.  0,  13, Kyivstar_8FE0, 
1C:61:B4:D1:47:36, 2023-07-13 22:37:43, 2023-07-13 22:37:43, 10, 270, WPA2, CCMP, PSK, -74,        2,        0,   0.  0.  0.  0,  12, TP-Link_4736, 
C0:25:E9:CE:BF:4E, 2023-07-13 22:37:44, 2023-07-13 22:37:44, 11, 270, WPA2, CCMP, PSK, -81,        1,        0,   0.  0.  0.  0,  12, TP-LINK_BF4E, 
DC:F0:90:A9:7B:3A, 2023-07-13 22:37:44, 2023-07-13 22:37:44,  6,  65, WPA2, CCMP, PSK, -71,        2,        0,   0.  0.  0.  0,   8, nubia M2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C2:2A:F3:D5:36:D0, 2023-07-13 22:37:40, 2023-07-13 22:37:45, -60,       35, 50:0F:F5:91:53:A9,
B2:4F:DC:2B:96:A1, 2023-07-13 22:37:45, 2023-07-13 22:37:45, -52,        1, 50:0F:F5:91:53:A9,

